지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그
108,서울,2021-08-16 1:00,25.1,,,,2.4,,50,,66,,20.9,18.2,1005.2,,1015,
108,서울,2021-08-16 2:00,24.5,,,,1.8,,70,,68,,20.8,18.1,1005.2,,1014.9,
108,서울,2021-08-16 3:00,23.9,,,,3.3,,50,,71,,21,18.3,1005.4,,1015.2,
108,서울,2021-08-16 4:00,23.4,,,,3.2,,50,,72,,20.6,18,1005.4,,1015.2,
108,서울,2021-08-16 5:00,23,,,,2.5,,70,,72,,20.1,17.6,1005.6,,1015.4,
108,서울,2021-08-16 6:00,22.6,,,,2.1,,70,,73,,20,17.5,1005.9,,1015.8,
108,서울,2021-08-16 7:00,22.8,,,,2.6,,70,,73,,20.1,17.6,1006.2,,1016,
108,서울,2021-08-16 8:00,24.2,,,,2.7,,50,,68,,20.5,17.9,1006,,1015.8,
108,서울,2021-08-16 9:00,25.9,,,,3.1,,50,,63,,21,18.3,1005.7,,1015.5,
108,서울,2021-08-16 10:00,27.4,,,,2.7,,70,,60,,21.8,18.9,1005.5,,1015.2,
108,서울,2021-08-16 11:00,28.9,,,,2.6,,50,,55,,21.8,18.9,1005.1,,1014.7,
108,서울,2021-08-16 12:00,30,,,,1.7,,70,,52,,22,19,1004.5,,1014.1,
108,서울,2021-08-16 13:00,31.3,,,,3,,50,,51,,23.2,19.9,1004,,1013.6,
108,서울,2021-08-16 14:00,31.8,,,,2.3,,70,,45,,21,18.3,1003.2,,1012.8,
108,서울,2021-08-16 15:00,32.2,,,,2.1,,50,,45,,21.6,18.7,1002.2,,1011.7,
108,서울,2021-08-16 16:00,32.7,,,,2,,110,,41,,20.2,17.7,1002,,1011.5,
108,서울,2021-08-16 17:00,32,,,,3.1,,140,,43,,20.4,17.8,1001.8,,1011.3,
108,서울,2021-08-16 18:00,31.1,,,,2.7,,160,,48,,21.6,18.7,1001.7,,1011.3,
108,서울,2021-08-16 19:00,29.8,,,,3.5,,160,,52,,21.7,18.8,1002.1,,1011.7,
108,서울,2021-08-16 20:00,27.5,,0,,2.5,,270,,70,,25.6,21.5,1002.5,,1012.2,
108,서울,2021-08-16 21:00,26.2,,0,,2.1,,270,,74,,25,21.1,1003,,1012.7,
108,서울,2021-08-16 22:00,26.2,,0,,1.6,,340,,76,,25.8,21.6,1003.2,,1012.9,
108,서울,2021-08-16 23:00,26.5,,,9,2.6,,160,,64,,22.1,19.1,1003.2,,1012.9,
108,서울,2021-08-17 0:00,26.5,,,9,2.6,,140,,63,,21.7,18.8,1003.4,,1013.1,
108,서울,2021-08-17 1:00,25.8,,,,2.5,,50,,64,,21.2,18.4,1003,,1012.7,
108,서울,2021-08-17 2:00,24.8,,,,2.5,,50,,66,,20.6,18,1002.6,,1012.4,
108,서울,2021-08-17 3:00,24.1,,,,2.8,,70,,66,,19.7,17.3,1001.9,,1011.6,
108,서울,2021-08-17 4:00,23.6,,,,2.5,,70,,65,,18.9,16.6,1002.2,,1012,
108,서울,2021-08-17 5:00,23.2,,,,2.1,,50,,66,,18.6,16.4,1002,,1011.8,
108,서울,2021-08-17 6:00,23.1,,,,3,,70,,66,,18.5,16.3,1002,,1011.8,
108,서울,2021-08-17 7:00,23.1,,,,2.2,,50,,67,,18.9,16.6,1002.1,,1011.9,
108,서울,2021-08-17 8:00,24.3,,,,2.8,,50,,63,,19,16.7,1001.6,,1011.3,
108,서울,2021-08-17 9:00,25.9,,,,2.3,,50,,60,,20,17.5,1001.7,,1011.4,
108,서울,2021-08-17 10:00,27.6,,,,2.4,,70,,55,,20.2,17.7,1001.5,,1011.2,
108,서울,2021-08-17 11:00,29,,,,2.4,,90,,53,,21.2,18.4,1001.1,,1010.7,
108,서울,2021-08-17 12:00,30.2,,,,3.3,,50,,50,,21.4,18.6,1000,,1009.6,
108,서울,2021-08-17 13:00,30.4,,,,2.2,,110,,50,,21.7,18.8,999.6,,1009.2,
108,서울,2021-08-17 14:00,31,,,,2.5,,50,,48,,21.4,18.6,998.9,,1008.4,
108,서울,2021-08-17 15:00,30.2,,,,1.9,,320,,48,,20.5,17.9,997.8,,1007.4,
108,서울,2021-08-17 16:00,30.1,,,,2.3,,20,,50,,21.3,18.5,997.4,,1007,
108,서울,2021-08-17 17:00,30.5,,,,2.7,,70,,48,,20.9,18.2,997.2,,1006.7,
